# 1D z+ on top wall (simple), 2nd-order FD pipeline
# generated by 12.phase3_compute_zplus_spanavg_2nd.py
# source tau   : 26.Re10595_j257_toptauwall_spanavg_2nd.dat
# Re           = 10595
# z_plus(j) = Re * u_tau_local(j) * d_n(j)
TITLE     = "1D z+ on top wall (simple)"
VARIABLES = "j" "y" "z" "tau_local" "u_tau_local" "d_n" "z_plus"
ZONE T="top_zplus_1d_simple", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
  95 3.010466243000000e+00 3.035713191000000e+00 2.515664420968246e-03 5.015639960132950e-02 1.323467300000036e-02 7.032998586620107e+00
  96 3.048611472000000e+00 3.035713191000000e+00 2.500557624159867e-03 5.000557593068863e-02 1.323467300000036e-02 7.011849886337044e+00
  97 3.087184461000000e+00 3.035713191000000e+00 2.485571751945483e-03 4.985550874221908e-02 1.323467300000036e-02 6.990807261013186e+00
  98 3.126182390000000e+00 3.035713191000000e+00 2.470678848067496e-03 4.970592367180692e-02 1.323467300000036e-02 6.969832238939229e+00
  99 3.165767921000000e+00 3.035713191000000e+00 2.455869881073323e-03 4.955673396293709e-02 1.323467300000036e-02 6.948912654998598e+00
 100 3.205801435000000e+00 3.035713191000000e+00 2.441176884121658e-03 4.940826736611655e-02 1.323467300000036e-02 6.928094466813267e+00
 101 3.246252193000000e+00 3.035713191000000e+00 2.426649180717904e-03 4.926103105617973e-02 1.323467300000036e-02 6.907448791128496e+00
 102 3.287115902000000e+00 3.035713191000000e+00 2.412278276052923e-03 4.911494961875583e-02 1.323467300000036e-02 6.886965053238615e+00
 103 3.328497896000000e+00 3.035713191000000e+00 2.398058301539857e-03 4.896997346884983e-02 1.323467300000036e-02 6.866636300268167e+00
 104 3.370357691000000e+00 3.035713191000000e+00 2.384000508964797e-03 4.882622767493714e-02 1.323467300000036e-02 6.846480069488920e+00
 105 3.412619252000000e+00 3.035713191000000e+00 2.370152357327405e-03 4.868421055462854e-02 1.323467300000036e-02 6.826566235674187e+00
 106 3.455280508000000e+00 3.035713191000000e+00 2.356523298277418e-03 4.854403463122341e-02 1.323467300000036e-02 6.806910576994087e+00
 107 3.498398864000000e+00 3.035713191000000e+00 2.343113623572273e-03 4.840571891390803e-02 1.323467300000036e-02 6.787515758942581e+00
 108 3.542027985000000e+00 3.035713191000000e+00 2.329918987301255e-03 4.826923437658044e-02 1.323467300000036e-02 6.768377711440164e+00
 109 3.586053234000000e+00 3.035713191000000e+00 2.316980690076616e-03 4.813502560585811e-02 1.323467300000036e-02 6.749558775027170e+00
 110 3.630472646000000e+00 3.035713191000000e+00 2.304318251816118e-03 4.800331500861287e-02 1.323467300000036e-02 6.731090135897735e+00
 111 3.675294568000000e+00 3.035713191000000e+00 2.291948312619419e-03 4.787429699347468e-02 1.323467300000036e-02 6.712999054294435e+00
 112 3.720660309000000e+00 3.035713191000000e+00 2.279882127021903e-03 4.774811124036115e-02 1.323467300000036e-02 6.695305116325340e+00
 113 3.766405503000000e+00 3.035713191000000e+00 2.268188776653275e-03 4.762550552648523e-02 1.323467300000036e-02 6.678113176328553e+00
 114 3.812530118000000e+00 3.035713191000000e+00 2.256894260416924e-03 4.750678120454935e-02 1.323467300000036e-02 6.661465490389981e+00
 115 3.859034290000000e+00 3.035713191000000e+00 2.246009049838686e-03 4.739207792277825e-02 1.323467300000036e-02 6.645381640173678e+00
 116 3.906051976000000e+00 3.035713191000000e+00 2.235539619422266e-03 4.728149341362079e-02 1.323467300000036e-02 6.629875329856581e+00
 117 3.953476247000000e+00 3.035713191000000e+00 2.225546353419283e-03 4.717569663946981e-02 1.323467300000036e-02 6.615040362255495e+00
 118 4.001270569000000e+00 3.035713191000000e+00 2.216080986539920e-03 4.707526937299372e-02 1.323467300000036e-02 6.600958314325450e+00
 119 4.049434190000000e+00 3.035713191000000e+00 2.207175573791485e-03 4.698058720143337e-02 1.323467300000036e-02 6.587681851420318e+00
 120 4.098059683000000e+00 3.035713191000000e+00 2.198834676791889e-03 4.689173356564981e-02 1.323467300000036e-02 6.575222673731150e+00
 121 4.147122086000000e+00 3.035713191000000e+00 2.191075643167132e-03 4.680892696021915e-02 1.323467300000036e-02 6.563611418864659e+00
 122 4.196551118000000e+00 3.035713191000000e+00 2.183902254857529e-03 4.673223999400766e-02 1.323467300000036e-02 6.552858268134851e+00
 123 4.246349442000000e+00 3.035713191000000e+00 2.177297257218479e-03 4.666151794807450e-02 1.323467300000036e-02 6.542941526641355e+00
 124 4.296563599000000e+00 3.035713191000000e+00 2.171272714647480e-03 4.659691743718119e-02 1.323467300000036e-02 6.533883155119099e+00
 125 4.347279926000000e+00 3.035713191000000e+00 2.165840394306786e-03 4.653859037730716e-02 1.323467300000036e-02 6.525704455433388e+00
 126 4.398400736000000e+00 3.035713191000000e+00 2.160976150794322e-03 4.648630067874106e-02 1.323467300000036e-02 6.518372322763715e+00
 127 4.449951199000000e+00 3.035713191000000e+00 2.156614467898675e-03 4.643936334510493e-02 1.323467300000036e-02 6.511790705986064e+00
 128 4.501958969000000e+00 3.035713191000000e+00 2.152926028162850e-03 4.639963392272454e-02 1.323467300000036e-02 6.506219792330588e+00
 129 4.550857869000000e+00 3.035713191000000e+00 2.150010657697124e-03 4.636820740223978e-02 1.323467300000036e-02 6.501813122874478e+00
 130 4.601483357000000e+00 3.035713191000000e+00 2.147470018088091e-03 4.634080295040312e-02 1.323467300000036e-02 6.497970433355966e+00
 131 4.652672134000000e+00 3.035713191000000e+00 2.145442184401043e-03 4.631891821276748e-02 1.323467300000036e-02 6.494901725671933e+00
 132 4.703505648000000e+00 3.035713191000000e+00 2.143983925520751e-03 4.630317403289704e-02 1.323467300000036e-02 6.492694055351567e+00
 133 4.753867304000000e+00 3.035713191000000e+00 2.143070369484471e-03 4.629330804214007e-02 1.323467300000036e-02 6.491310632705586e+00
 134 4.803830507000000e+00 3.035713191000000e+00 2.142717050409037e-03 4.628949179251202e-02 1.323467300000036e-02 6.490775512990980e+00
 135 4.853410035000000e+00 3.035713191000000e+00 2.142910211145520e-03 4.629157818810587e-02 1.323467300000036e-02 6.491068070219556e+00
