# 1D z+ on bottom wall (n-projection), 2nd-order FD pipeline
# generated by 12.phase3_compute_zplus_spanavg_2nd.py
# source tau   : 25.Re10595_j257_bottomtauwall_spanavg_2nd.dat
# Re           = 10595
# z_plus(j) = Re * u_tau_local(j) * d_n(j)
TITLE     = "1D z+ on bottom wall (n-projection)"
VARIABLES = "j" "y" "z" "tau_local" "u_tau_local" "dy_step" "dz_step" "n_y" "n_z" "d_n_proj" "z_plus_proj"
ZONE T="bottom_zplus_1d_n-projection", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
  66 1.831113425000000e+00 5.512237969000000e-03 1.082065312719862e-04 1.040223683983335e-02 1.507280999999860e-03 1.321064158100000e-02 1.123824149785429e-01 9.936650304824007e-01 1.329634444810769e-02 1.465412716343861e+00
  67 1.865420848000000e+00 2.302877783000000e-03 9.867301712565691e-05 9.933429273199509e-03 1.003633999999920e-03 1.322463329700000e-02 7.343965165618230e-02 9.972996628720070e-01 1.326262886005431e-02 1.395821172106478e+00
  68 1.899950651000000e+00 4.841608314000000e-04 9.680449719075802e-05 9.838927644350171e-03 5.663360000001116e-04 1.323256227860000e-02 3.045402124885346e-02 9.995361687251614e-01 1.324367181094693e-02 1.380565886506858e+00
  69 1.934764500000000e+00 1.326994363000000e-05 1.073112995460956e-04 1.035911673580791e-02 2.517280000000621e-04 1.323461520637000e-02 3.291536643744214e-03 9.999945828785888e-01 1.323537208478885e-02 1.452646169540378e+00
  70 1.969835156000000e+00 -6.833454757000000e-06 1.176712549561100e-04 1.084763822018922e-02 9.109100000004311e-05 1.323470285475700e-02 -7.410436982239079e-04 9.999997254270810e-01 1.323463171845449e-02 1.521065844223600e+00
  71 2.005131775000000e+00 2.308574199000000e-06 1.308402816139917e-04 1.143854368414055e-02 4.322099999987117e-05 1.323466299580100e-02 3.412814290044762e-05 9.999999994176348e-01 1.323466446314606e-02 1.603927122192338e+00
  72 2.040659052000000e+00 -3.672180591000000e-07 1.454756807058157e-04 1.206132997251197e-02 3.888200000012887e-05 1.323467465805910e-02 8.666434115849388e-05 9.999999962446459e-01 1.323467797804112e-02 1.691256733543905e+00
  73 2.076462986000000e+00 -1.256698831000000e-07 1.509651642991564e-04 1.228678820111897e-02 3.518599999985383e-05 1.323467360988310e-02 -2.311412796610143e-05 9.999999997328686e-01 1.323467279305400e-02 1.722870129997684e+00
  74 2.112559849000000e+00 1.178948985000000e-07 1.590150060798883e-04 1.261011522865229e-02 2.129599999989296e-05 1.323467254510150e-02 9.739020280246705e-07 9.999999999995258e-01 1.323467256583544e-02 1.768207454597539e+00
  75 2.148890852000000e+00 -4.603056089000000e-08 1.722151294257470e-04 1.312307621808801e-02 1.739499999997562e-05 1.323467326056089e-02 2.579761710514388e-06 9.999999999966724e-01 1.323467330539181e-02 1.840135642853864e+00
  76 2.185457871000000e+00 9.749056139999999e-09 1.797693119092651e-04 1.340780787113483e-02 2.265299999981707e-05 1.323467301094386e-02 -1.508946369531932e-06 9.999999999988616e-01 1.323467297674663e-02 1.880061056838353e+00
  77 2.222287184000000e+00 1.005363574000000e-09 1.872749713815947e-04 1.368484458741109e-02 3.339000000002201e-05 1.323467305463643e-02 4.803013554908510e-07 9.999999999998846e-01 1.323467307067216e-02 1.918907535635152e+00
  78 2.259439811000000e+00 -1.933682469000000e-09 1.918362720256392e-04 1.385049717611751e-02 1.629499999999950e-05 1.323467306368247e-02 -5.826789849886839e-08 9.999999999999983e-01 1.323467306273297e-02 1.942135565942137e+00
  79 2.296836822000000e+00 8.835101990000000e-10 1.912135113780072e-04 1.382799737409605e-02 1.209300000004632e-05 1.323467305648980e-02 -3.377318086739823e-08 9.999999999999994e-01 1.323467305608137e-02 1.938980612103705e+00
  80 2.334477711000000e+00 -2.279977196000000e-10 1.946100641010221e-04 1.395027111209750e-02 1.557300000021300e-05 1.323467305799772e-02 2.568339941253548e-08 9.999999999999998e-01 1.323467305839768e-02 1.956126002406752e+00
